                  name                  |               setting                | unit |                             category                              |                                                               short_desc                                                                |                                                                                                                                                                                                                                 extra_desc                                                                                                                                                                                                                                  |      context      | vartype |        source        |   min_val   |   max_val    |                                    enumvals                                    |            boot_val            |              reset_val               |              sourcefile              | sourceline | pending_restart 
 shared_memory_size_in_huge_pages       | 614                                  |      | Preset Options                                                    | Shows the number of huge pages needed for the main shared memory area.                                                                  | -1 indicates that the value could not be determined.                                                                                                                                                                                                                                                                                                                                                                                                                        | internal          | integer | override             | -1          | 2147483647   |                                                                                | -1                             | 614                                  |                                      |            | f
 shared_memory_type                     | mmap                                 |      | Resource Usage / Memory                                           | Selects the shared memory implementation used for the main shared memory region.                                                        |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | enum    | default              |             |              | {sysv,mmap}                                                                    | mmap                           | mmap                                 |                                      |            | f
 shared_preload_libraries               |                                      |      | Client Connection Defaults / Shared Library Preloading            | Lists shared libraries to preload into server.                                                                                          |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl                                    | off                                  |      | Connections and Authentication / SSL                              | Enables SSL connections.                                                                                                                |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 ssl_ca_file                            |                                      |      | Connections and Authentication / SSL                              | Location of the SSL certificate authority file.                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_cert_file                          | server.crt                           |      | Connections and Authentication / SSL                              | Location of the SSL server certificate file.                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | server.crt                     | server.crt                           |                                      |            | f
 ssl_ciphers                            | none                                 |      | Connections and Authentication / SSL                              | Sets the list of allowed SSL ciphers.                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | none                           | none                                 |                                      |            | f
 ssl_crl_dir                            |                                      |      | Connections and Authentication / SSL                              | Location of the SSL certificate revocation list directory.                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_crl_file                           |                                      |      | Connections and Authentication / SSL                              | Location of the SSL certificate revocation list file.                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_dh_params_file                     |                                      |      | Connections and Authentication / SSL                              | Location of the SSL DH parameters file.                                                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_ecdh_curve                         | none                                 |      | Connections and Authentication / SSL                              | Sets the curve to use for ECDH.                                                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | none                           | none                                 |                                      |            | f
 ssl_key_file                           | server.key                           |      | Connections and Authentication / SSL                              | Location of the SSL server private key file.                                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | server.key                     | server.key                           |                                      |            | f
 ssl_library                            |                                      |      | Preset Options                                                    | Shows the name of the SSL library.                                                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | internal          | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_max_protocol_version               |                                      |      | Connections and Authentication / SSL                              | Sets the maximum SSL/TLS protocol version to use.                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | enum    | default              |             |              | {"",TLSv1,TLSv1.1,TLSv1.2,TLSv1.3}                                             |                                |                                      |                                      |            | f
 ssl_min_protocol_version               | TLSv1.2                              |      | Connections and Authentication / SSL                              | Sets the minimum SSL/TLS protocol version to use.                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | enum    | default              |             |              | {TLSv1,TLSv1.1,TLSv1.2,TLSv1.3}                                                | TLSv1.2                        | TLSv1.2                              |                                      |            | f
 ssl_passphrase_command                 |                                      |      | Connections and Authentication / SSL                              | Command to obtain passphrases for SSL.                                                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 ssl_passphrase_command_supports_reload | off                                  |      | Connections and Authentication / SSL                              | Controls whether ssl_passphrase_command is called during server reload.                                                                 |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 ssl_prefer_server_ciphers              | on                                   |      | Connections and Authentication / SSL                              | Give priority to server ciphersuite order.                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 standard_conforming_strings            | on                                   |      | Version and Platform Compatibility / Previous PostgreSQL Versions | Causes '...' strings to treat backslashes literally.                                                                                    |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 statement_timeout                      | 0                                    | ms   | Client Connection Defaults / Statement Behavior                   | Sets the maximum allowed duration of any statement.                                                                                     | A value of 0 turns off the timeout.                                                                                                                                                                                                                                                                                                                                                                                                                                         | user              | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 stats_temp_directory                   | pg_stat_tmp                          |      | Statistics / Query and Index Statistics Collector                 | Writes temporary statistics files to the specified directory.                                                                           |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | pg_stat_tmp                    | pg_stat_tmp                          |                                      |            | f
 superuser_reserved_connections         | 3                                    |      | Connections and Authentication / Connection Settings              | Sets the number of connection slots reserved for superusers.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 0           | 262143       |                                                                                | 3                              | 3                                    |                                      |            | f
 synchronize_seqscans                   | on                                   |      | Version and Platform Compatibility / Previous PostgreSQL Versions | Enable synchronized sequential scans.                                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 synchronous_commit                     | on                                   |      | Write-Ahead Log / Settings                                        | Sets the current transaction's synchronization level.                                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | enum    | default              |             |              | {local,remote_write,remote_apply,on,off}                                       | on                             | on                                   |                                      |            | f
 synchronous_standby_names              |                                      |      | Replication / Primary Server                                      | Number of synchronous standbys and list of names of potential synchronous ones.                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 syslog_facility                        | local0                               |      | Reporting and Logging / Where to Log                              | Sets the syslog "facility" to be used when syslog enabled.                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | enum    | default              |             |              | {local0,local1,local2,local3,local4,local5,local6,local7}                      | local0                         | local0                               |                                      |            | f
 syslog_ident                           | postgres                             |      | Reporting and Logging / Where to Log                              | Sets the program name used to identify PostgreSQL messages in syslog.                                                                   |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | string  | default              |             |              |                                                                                | postgres                       | postgres                             |                                      |            | f
 syslog_sequence_numbers                | on                                   |      | Reporting and Logging / Where to Log                              | Add sequence number to syslog messages to avoid duplicate suppression.                                                                  |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 syslog_split_messages                  | on                                   |      | Reporting and Logging / Where to Log                              | Split messages sent to syslog by lines and to fit into 1024 bytes.                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | sighup            | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 tcp_keepalives_count                   | 0                                    |      | Connections and Authentication / Connection Settings              | Maximum number of TCP keepalive retransmits.                                                                                            | This controls the number of consecutive keepalive retransmits that can be lost before a connection is considered dead. A value of 0 uses the system default.                                                                                                                                                                                                                                                                                                                | user              | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 tcp_keepalives_idle                    | 0                                    | s    | Connections and Authentication / Connection Settings              | Time between issuing TCP keepalives.                                                                                                    | A value of 0 uses the system default.                                                                                                                                                                                                                                                                                                                                                                                                                                       | user              | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 tcp_keepalives_interval                | 0                                    | s    | Connections and Authentication / Connection Settings              | Time between TCP keepalive retransmits.                                                                                                 | A value of 0 uses the system default.                                                                                                                                                                                                                                                                                                                                                                                                                                       | user              | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 tcp_user_timeout                       | 0                                    | ms   | Connections and Authentication / Connection Settings              | TCP user timeout.                                                                                                                       | A value of 0 uses the system default.                                                                                                                                                                                                                                                                                                                                                                                                                                       | user              | integer | default              | 0           | 2147483647   |                                                                                | 0                              | 0                                    |                                      |            | f
 temp_buffers                           | 1024                                 | 1kB  | Resource Usage / Memory                                           | Sets the maximum number of temporary buffers used by each session.                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | integer | default              | 100         | 1073741823   |                                                                                | 1024                           | 1024                                 |                                      |            | f
 temp_file_limit                        | -1                                   | kB   | Resource Usage / Disk                                             | Limits the total size of all temporary files used by each process.                                                                      | -1 means no limit.                                                                                                                                                                                                                                                                                                                                                                                                                                                          | superuser         | integer | default              | -1          | 2147483647   |                                                                                | -1                             | -1                                   |                                      |            | f
 temp_tablespaces                       |                                      |      | Client Connection Defaults / Statement Behavior                   | Sets the tablespace(s) to use for temporary tables and sort files.                                                                      |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | default              |             |              |                                                                                |                                |                                      |                                      |            | f
 TimeZone                               | Europe/Prague                        |      | Client Connection Defaults / Locale and Formatting                | Sets the time zone for displaying and interpreting time stamps.                                                                         |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | configuration file   |             |              |                                                                                | GMT                            | Europe/Prague                        | /mnt/raid/bench-data/postgresql.conf |        702 | f
 timezone_abbreviations                 | Default                              |      | Client Connection Defaults / Locale and Formatting                | Selects a file of time zone abbreviations.                                                                                              |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | string  | default              |             |              |                                                                                |                                | Default                              |                                      |            | f
 trace_notify                           | off                                  |      | Developer Options                                                 | Generates debugging output for LISTEN and NOTIFY.                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 trace_recovery_messages                | log                                  |      | Developer Options                                                 | Enables logging of recovery-related debugging information.                                                                              | Each level includes all the levels that follow it. The later the level, the fewer messages are sent.                                                                                                                                                                                                                                                                                                                                                                        | sighup            | enum    | default              |             |              | {debug5,debug4,debug3,debug2,debug1,log,notice,warning,error}                  | log                            | log                                  |                                      |            | f
 trace_sort                             | off                                  |      | Developer Options                                                 | Emit information about resource usage in sorting.                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | user              | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
 track_activities                       | on                                   |      | Statistics / Query and Index Statistics Collector                 | Collects information about executing commands.                                                                                          | Enables the collection of information on the currently executing command of each session, along with the time at which that command began execution.                                                                                                                                                                                                                                                                                                                        | superuser         | bool    | default              |             |              |                                                                                | on                             | on                                   |                                      |            | f
 track_activity_query_size              | 1024                                 | B    | Statistics / Query and Index Statistics Collector                 | Sets the size reserved for pg_stat_activity.query, in bytes.                                                                            |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | integer | default              | 100         | 1048576      |                                                                                | 1024                           | 1024                                 |                                      |            | f
 track_commit_timestamp                 | off                                  |      | Replication / Sending Servers                                     | Collects transaction commit time.                                                                                                       |                                                                                                                                                                                                                                                                                                                                                                                                                                                                             | postmaster        | bool    | default              |             |              |                                                                                | off                            | off                                  |                                      |            | f
